Commentaire,Sentiment
oh my good i,positif
ahhh pero duerme,positif
que pasa maquina,positif
dont sleep on your jeans barbie,positif
love from israel,positif
yapay zeka,positif
casi parece de verdad,positif
mi piaci molto,positif
mi amor hermosa ,positif
artificial but very intelligent,positif
can an ai really be all natural ,positif
bh bh hwsh mSnwy,positif
naturalmente ia es que hay elementos tan bonitos en esa tabla periodica ,positif
jejejjee muy buena la ia le falta un poco y es bien creible como humana,positif
 great photo,positif
gorgeous ,positif
all natural ai you mean,positif
porque eres una ia las personas reales tenemos unas pintas al despertar,positif
hi guys btw ,positif
ok i admit this ai stuff finally fooled me shes a hottie and she is not real darn tho as most humans we all are true visualising screen beautyim guilty of this time to learn the differences of this on going new techmay you all stay blessed,positif
best looking ai around,positif
wooow,positif
increible nunca habia visto un robot con pezones jaja,positif
que bonito una mujer femenina sin axilas peludas,positif
super ki ,positif
i will never know whats real and what isnt any more so life like ,positif
why dont you do a live teaching us to be beautiful like this,positif
her photos are so good ,positif
verbluffend beangstigend,positif
ai natural ,positif
tampoco tan natural ,positif
how tf is this ai i gotta meet the creator,negatif
una preguntael prompt que le dais tan especifico lo teneis como oro en pano y todas las variables os cuesta mucho que no se note que es real pequenos defectos etc o lo retocais con un post procesado ,positif
non credo sia fatta a pc se lo e sono state prese parti reali da molte persone perche il naso e un naso apparentemente rifatto non ha linea naturale tra osso e punta,positif
hii guys,positif
sei bellissima i love ,positif
dos mentiras juntas buenas buenas ia,negatif
k i fake ,negatif
jajajaja ia,positif
 si si ia todo natural no te jode,positif
dejen de ser tan amargados gracias,positif
 is ugual a you,positif
naturalmente ai,positif
aitana cuanto que duermes tia que suerte,positif
al natural se paso,positif
bestye,positif
recien creada ,positif
natural ,positif
prirodni nuly a jednicky,positif
ai,positif
es un robot,positif
rompe i cogl allo stesso modo delle donne vere oppure corregge anche questunico difetto ,positif
si que madrugas ,positif
you are amazing ,positif
the notperfectness makes you so perfect,positif
 vraiment ravissante,positif
looks so real,positif
woow ,positif
all natural,positif
 pero saben q es pero no no,positif
espectacularmente hermosa corazon ,positif
so pretty best ai model i seen so far ,positif
love this image ,positif
ya sabes a veces tenemos celos de tu inteligencia creativa,positif
pero que maja esta dulzura de bebe,positif
oh my crush,positif
hi,positif
x che,positif
guapa ,positif
omg i thought you are for realits just program ai,positif
hola irma que tal,positif
bella ,positif
you look stunning ,positif
mamaciiita ,positif
eres una chica hermosa ,positif
gorgeous just like me ,positif
bella,positif
looking good d,positif
hey beautiful ,positif
simply beautiful ,positif
a pero che bella ragazza complimenti,positif
this is ai right,positif
best work on insta you doing a great job man ,positif
eres muy excitante ,positif
you are stunning girl,positif
tao sexy imaginar os barbudos que sao tua alma ,positif
gorgeous as always ,positif
rapaz cada vez mais dificil a concorrencia a skynet vai dominar o mundo,positif
wow ,positif
guapa preciosa ,positif
stunning,positif
ai is incredibile,neutre
bella d,positif
amazing ,positif
mommy,positif
beauty,positif
que perfeicao que conseguiram fazer parabens aos envolvidos,positif
looking so great,positif
i love the grey and pink contrastvery cute pose,positif
such a stunning look ,positif
complimenti,positif
nice ,positif
ma quanto sei bella,positif
si muy natural ,positif
beauty queen ,positif
la verdad es que me cae mejor ella que me parece mucho mas real aitana,positif
look so good ,positif
hermosa,positif
una modelo hecha por ia al natural flipas,positif
princess,positif
recien booteada dices,positif
q bella ,positif
keske gercek olsan be kadin,positif
 wow ,positif
pretty ,positif
simple beauty,positif
omg ,positif
why tf are dudes leave heart emojis shes not real,positif
this is the equivalent of simping over and anime girl lmao,positif
girls are jealous of you because you are perfect,positif
tao natural quanto as kardashians,positif
beautiful photo stunning girl ,positif
how long does it take to generate one image ,positif
perfect lady ,positif
with respect to your so beautiful and i wish today that you have a wonderful one,positif
all natural its an ai generated person its not real but it looks so good,positif
guapissima,positif
cagada que hay gente que cree que es real,positif
absolutely gorgeous,positif
how many people are directly involved in drawing aitana do you think there is any woman in the team,positif
perfect body ,positif
beautiful,positif
absolutly natural ,positif
replicants,positif
nonostante sia ai sembra incredibilmente vera e molto bella ,positif
